M : P,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 6,SENSOR 8
98:02:00,0.050780126,0.001078655,0.044720348,0.03701448,0.043377828,0.042692217
96:04:00,0.084519444,0.066538449,0.074871805,0.055421833,0.088859175,0.064071699
95:05:00,0.022720277,0.087966096,0.018608895,0.035670301,0.018336133,0.008821627
94:06:00,0.018499975,0.109751967,0.036437714,0.047061712,0.055953663,0.063350166
92:08:00,0.081838845,0.236674496,0.125746351,0.1288358,0.168878836,0.161546786
90:10:00,0.119978388,0.287427056,0.197941233,0.152894221,0.244986879,0.22354922
85:15:00,0.254146492,0.260146255,0.643226888,0.28163333,0.572562247,0.521015461
80:20:00,0.293274386,0.409950836,0.774752797,0.318986204,0.558510675,0.495269473
75:25:00,0.282873049,0.523209862,0.708019406,0.331130799,0.538266436,0.465531165
70:30:00,0.273524883,0.561313364,0.518364821,0.425389129,0.54019229,0.497510693
50:50:00,0.271193911,0.499044394,0.568015857,0.336478203,0.529672317,0.464543352
0.069444444,0.350353673,0.221280039,0.637636866,0.266924089,0.464115489,0.420081431
98:02:00,0.050780126,0.001078655,0.044720348,0.03701448,0.043377828,0.042692217
96:04:00,0.084519444,0.066538449,0.074871805,0.055421833,0.088859175,0.064071699
95:05:00,0.022720277,0.087966096,0.018608895,0.035670301,0.018336133,0.008821627
94:06:00,0.018499975,0.109751967,0.036437714,0.047061712,0.055953663,0.063350166
92:08:00,0.081838845,0.236674496,0.125746351,0.1288358,0.168878836,0.161546786
90:10:00,0.119978388,0.287427056,0.197941233,0.152894221,0.244986879,0.22354922
85:15:00,0.254146492,0.260146255,0.643226888,0.28163333,0.572562247,0.521015461
80:20:00,0.293274386,0.409950836,0.774752797,0.318986204,0.558510675,0.495269473
75:25:00,0.282873049,0.523209862,0.708019406,0.331130799,0.538266436,0.465531165
70:30:00,0.273524883,0.561313364,0.518364821,0.425389129,0.54019229,0.497510693
