,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 6,SENSOR 8,Mahalanobis
0,2.79492,0.69781,3.28598,1.32697,1.45367,1.68367,37.10415296
1,0.10183,0.27391,0.39414,0.16561,0.23676,0.22437,13.72866179
2,0.13343,0.16767,0.53161,0.16116,0.24654,0.24632,43.31576167
3,0.14894,0.21117,0.50989,0.12105,0.22343,0.21249,29.77117398
4,0.11608,0.24025,0.61854,0.18683,0.27455,0.27851,37.4215907
5,0.15208,0.22737,0.35479,0.1389,0.22563,0.22878,34.52700169
6,0.12583,0.26116,0.15486,0.15486,0.25379,0.23382,24.98419802
7,0.076589,0.01371,0.51905,0.00638,0.21229,0.10782,39.50143838
8,0.05062,0.05305,0.1227,0.11408,0.01303,0.05253,20.43718646
9,0.06262,0.098064,0.06139,0.1171,0.0713,0.10966,35.35005974
10,0.03819,0.09215,0.24748,0.01603,0.00597,0.04735,51.16842492
